title,price,date_posted,address,rental_type,num_bedrooms,num_bathrooms,url,company,company_type,Parking Included,Agreement Type,Pet Friendly,Move-In Date,Size (sqft),Furnished,Air Conditioning,Smoking Permitted,Elevator Accessibility Features,Barrier-free Entrances and Ramps,Visual Aids,Accessible Washrooms in Suite,heat,hydro,water,cable_tv,internet,laundry_unit,laundry_building,dishwasher,fridge_freezer,yard,balcony,building_security,building_elevator,building_gym,bycycle_parking,storage_space
For rent,1200,2024-03-17T01:42:05.000Z,"Olivet St, Halifax, NS B3L 4A5",,2,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/for-rent/1688428885,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Bedroom in 4 Bedroom Apartment  Sublet May 1st - Aug 31st,837,2024-03-17T01:34:18.000Z,"Seymour Street, Halifax, NS",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/1-bedroom-in-4-bedroom-apartment-sublet-may-1st-aug-31st/1688421105,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
AMAZING 1 BEDROOM AVAILABLE IN CLAYTON PARK,1839,2024-03-17T01:01:49.000Z,"85 Westgrove, 241 Willett Street, 235 Willett Street, Halifax, NS, B3M 3L7",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/amazing-1-bedroom-available-in-clayton-park/1688104514,Kijiji User,Professional,1,1 Year,Limited,,Not Available,No,No,Yes,,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes
OPEN HOUSE SATURDAY 10-4 - 1 BEDROOM DOWNTOWN HALIFAX,,2024-03-17T01:01:46.000Z,"1015 Barrington Street, Halifax, NS, B3H 4R4",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/open-house-saturday-10-4-1-bedroom-downtown-halifax/1667845560,Kijiji User,Professional,0,1 Year,Limited,,Not Available,No,No,Yes,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No
RETAIL SPACE FOR LEASE SPRING GARDEN ROAD,,2024-03-17T01:01:45.000Z,"5640 Spring Garden Road, Halifax, NS, B3J 3M7",,,,https://www.kijiji.ca/v-commercial-office-space/city-of-halifax/retail-space-for-lease-spring-garden-road/1505871953,Kijiji User,Professional,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
HALIFAX WATERFRONT PRIME OFFICE SPACE,,2024-03-17T01:01:45.000Z,"1601 Lower Water St., Halifax, NS, B3J 2P6",,,,https://www.kijiji.ca/v-commercial-office-space/city-of-halifax/halifax-waterfront-prime-office-space/1505865483,Kijiji User,Professional,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
OPEN HOUSE SATURDAY 10-4 -  2 BEDROOM DOWNTOWN HALIFAX,,2024-03-17T01:01:44.000Z,"1545 / 1551 South Park Street, Halifax, NS, B3J 4B3",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/open-house-saturday-10-4-2-bedroom-downtown-halifax/1683700599,Kijiji User,Professional,0,1 Year,Limited,,Not Available,No,No,Yes,,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No
OPEN HOUSE SATURDAY 10-4 - 1 BEDROOM NEAR PUBLIC GARDENS,,2024-03-17T01:01:44.000Z,"1545 / 1551 South Park Street, Halifax, NS, B3J 4B3",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/open-house-saturday-10-4-1-bedroom-near-public-gardens/1678071862,Kijiji User,Professional,0,1 Year,Limited,,Not Available,No,No,No,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
LARGE 2 BEDROOM IN WEST END HALIFAX,2291,2024-03-17T01:01:43.000Z,"6969 Bayers Road, Halifax, NS, B3L 4P3",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/large-2-bedroom-in-west-end-halifax/1570198829,Kijiji User,Professional,1,1 Year,No,,Not Available,No,No,No,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
THE CRANE- 2-Bedroom unit-301-June 1st-$2795.00,2795,2024-03-17T00:36:00.000Z,"1471 South Park Street, Halifax, NS, B3J 0J7",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/the-crane-2-bedroom-unit-301-june-1st-2795-00/1688423174,Kijiji User,Professional,0,1 Year,No,01-Jun-24,Not Available,No,Yes,No,,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No
Room for Rent in Central Halifax,1000,2024-03-17T00:24:07.000Z,"2216 Monastery Ln, Halifax, NS B3L 1E9",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/room-for-rent-in-central-halifax/1688424328,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"23-075 Large family home in Pine Bluff, a beautiful Halifax area",4200,2024-03-17T00:09:41.000Z,"Litchfield Crescent, Halifax, NS, B3P 2N4",House,3,3,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/23-075-large-family-home-in-pine-bluff-a-beautiful-halifax-area/1685510401,Kijiji User,Professional,2,1 Year,Limited,24-Mar-24,Not Available,No,No,No,,,,,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Electric Vehicle charging at North End Halifax apartment,2695,2024-03-17T00:08:56.000Z,"3807 Mont Blanc Terrace, Halifax, NS, B3K 6R9",Apartment,2 + Den,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/electric-vehicle-charging-at-north-end-halifax-apartment/1677789495,Kijiji User,Professional,0,1 Year,Limited,15-Mar-24,"1,382",No,No,No,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes
South End Home for rent,4000,2024-03-16T23:35:49.000Z,"McLean Street, Halifax, NS",House,4,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/south-end-home-for-rent/1688421114,Kijiji User,Owner,2,1 Year,Limited,01-May-24,"2,600",No,No,Outdoors only,,,,,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
Small Apartment Room Available for Rent,900,2024-03-16T23:27:36.000Z,"Seymour Street, Halifax, NS",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/small-apartment-room-available-for-rent/1688420525,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2 BHK 1 bathroom apartment ,2350,2024-03-16T23:03:01.000Z,"131 Farnham Gate Rd, Halifax, NS B3M 4A4",Condo,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bhk-1-bathroom-apartment/1688418487,Kijiji User,Owner,1,1 Year,Yes,01-May-24,"1,000",No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2 Bed 1 Bath Apartment,2200,2024-03-16T22:51:21.000Z,"Halifax, NS B3R 1W4",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bed-1-bath-apartment/1688417572,Kijiji User,Owner,0,1 Year,Yes,06-Apr-24,650,No,Yes,Outdoors only,,,,,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Stunning Executive Penthouse-Elegant 2-Bedroom- June 7th-$4595.0,4595,2024-03-16T22:00:00.000Z,"1471 South Park Street, Halifax, NS, B3J 0J7",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/stunning-executive-penthouse-elegant-2-bedroom-june-7th-4595-0/1688408715,Kijiji User,Professional,0,1 Year,No,07-Jun-24,Not Available,No,Yes,No,,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No
Large apartment room for rent,1175,2024-03-16T20:14:35.000Z,"Seymour St, Halifax, NS B3H 3M5",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/large-apartment-room-for-rent/1688403619,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Private room for rent,750,2024-03-16T19:50:48.000Z,"Young Street, Halifax, NS",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/private-room-for-rent/1688401270,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bright Downtown HFX Furnished Apt Near Waterfront and UNIVERSITI,2400,2024-03-16T19:39:52.000Z,"Kent St, Halifax, NS B3H",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bright-downtown-hfx-furnished-apt-near-waterfront-and-universiti/1688400071,Kijiji User,Owner,1,Month-to-month,Yes,31-Mar-24,"1,200",Yes,Yes,Outdoors only,,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No
Renovated One Bedroom Apartment in Halifax- 27 Evans Avenue,1350,2024-03-16T18:45:34.000Z,"27 Evans Avenue, Halifax, NS",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/renovated-one-bedroom-apartment-in-halifax-27-evans-avenue/1688127691,Kijiji User,Owner,1,1 Year,Limited,01-Mar-24,680,No,No,No,,,,,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No
2 BEDROOM APARTMENT IN HALIFAX FOR RENT // RICHMOND YARDS,2695,2024-03-16T18:00:26.000Z,"Clifton Street, Halifax, NS",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-apartment-in-halifax-for-rent-richmond-yards/1688389099,Kijiji User,Owner,0,1 Year,No,01-May-24,990,No,Yes,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Charming 3bedroom single house in South end of Halifax,3000,2024-03-16T16:57:13.000Z,"Halifax, NS B3H 2S9",House,3,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/charming-3bedroom-single-house-in-south-end-of-halifax/1688381999,Kijiji User,Owner,1,1 Year,Limited,01-Jun-24,"1,800",No,No,Outdoors only,,,,,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No
Seeking Place to Call Home ,800,2024-03-16T16:00:26.000Z,"Halifax, NS B3M 3W8",Apartment,Bachelor/Studio,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/seeking-place-to-call-home/1688375355,Kijiji User,Owner,0,1 Year,Yes,01-Apr-24,100,No,No,Outdoors only,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Executive Furnished Condo Rental,2850,2024-03-16T15:15:31.000Z,"1445 South Park Street, Halifax, NS",Condo,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/executive-furnished-condo-rental/1686951552,Kijiji User,Professional,1,1 Year,No,04-Mar-24,890,Yes,Yes,No,,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes
1 bedroom shared house sublet,915,2024-03-16T15:10:44.000Z,"1341 Edward St, Halifax, NS B3H 3H5",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/1-bedroom-shared-house-sublet/1688369381,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 bedroom for sublet,900,2024-03-16T14:58:03.000Z,"Halifax, NS B3J 1C2",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/1-bedroom-for-sublet/1688367641,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Bedroom with pvt kitchen and bath avbl april 1,1500,2024-03-16T14:46:23.000Z,"8 Higgins Ave, Beechville, NS B3T 1A7",House,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bedroom-with-pvt-kitchen-and-bath-avbl-april-1/1688366439,Kijiji User,Owner,1,1 Year,No,01-Apr-24,650,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1 Bed Room Executive ,1600,2024-03-16T14:33:55.000Z,"38 Travertine Ct, Halifax, NS B3R 1X6",Basement,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bed-room-executive/1688365108,Kijiji User,Owner,1,1 Year,Limited,01-Apr-24,"1,050",Yes,No,Yes,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3 Bedroom/3 Bath EVERYTHING INCLUDED - Fairview,2850,2024-03-16T14:17:02.000Z,"Halifax, NS B3N 2N4",Apartment,3,3,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/3-bedroom-3-bath-everything-included-fairview/1688363270,Kijiji User,Owner,1,1 Year,No,02-Apr-24,"1,500",No,Yes,No,,,,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
Room (single/double occupancy) - Downtown Halifax,900,2024-03-16T13:58:28.000Z,"Halifax, NS B3H",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/room-single-double-occupancy-downtown-halifax/1688361566,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2 Bedrooms Apartment for Rent - 9 - 54 Paige Plaza,2095,2024-03-16T13:09:44.000Z,"54 Paige Plaza, Lower Sackville, NS, B4E 0J6",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedrooms-apartment-for-rent-9-54-paige-plaza/1680021792,Kijiji User,Professional,0,1 Year,Yes,,928,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Newly Reno House Rental,2700,2024-03-16T12:15:29.000Z,"Halifax, NS B3N 1B9",House,3 + Den,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/newly-reno-house-rental/1688353992,Kijiji User,Owner,2,1 Year,Limited,15-Apr-24,"1,800",Yes,No,Outdoors only,,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
DUTCH VILLAGE ROAD CORNER COMMERCIAL RETAIL SPACE,,2024-03-16T11:29:45.000Z,"Halifax, NS B3N 2L5",,,,https://www.kijiji.ca/v-commercial-office-space/city-of-halifax/dutch-village-road-corner-commercial-retail-space/1688352004,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Beautiful, bright, newly renovated 3 bed basement unit",2295,2024-03-15T18:35:30.000Z,"Pine Grove Drive, Halifax, NS",Basement,3,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-bright-newly-renovated-3-bed-basement-unit/1685165336,Kijiji User,Owner,0,1 Year,Limited,01-Mar-24,850,No,No,Outdoors only,,,,,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
4 Bedroom House in Halifax for March,3995,2024-03-15T17:18:28.000Z,"12 Palmer Hill, Halifax, NS, B3N 1S5",House,3,3,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/4-bedroom-house-in-halifax-for-march/1684095786,Kijiji User,Professional,0,1 Year,No,01-Mar-24,"4,400",No,No,No,,,,,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Bright room in shared home *Private entrance*,1000,2024-03-16T11:27:53.000Z,"Beresford Rd, Halifax, NS B3L 3R9",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/bright-room-in-shared-home-private-entrance/1688351952,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
BEAUTIFUL ONE BEDROOM AT THE CRANE- APRIL 1ST,1995,2024-03-16T11:24:00.000Z,"1471 South Park Street, Halifax, NS, B3J 0J7",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-one-bedroom-at-the-crane-april-1st/1688345740,Kijiji User,Professional,0,1 Year,No,01-Apr-24,Not Available,No,Yes,No,,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No
"2 bedroom and 2  bathroom Flat , the old North End Halifax",3000,2024-03-16T09:16:00.000Z,"Halifax, NS, B3K3W8",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-and-2-bathroom-flat-the-old-north-end-halifax/1688345366,Kijiji User,Owner,1,1 Year,Yes,01-Apr-24,711,No,Yes,Outdoors only,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Room for rent,450,2024-03-16T09:15:34.000Z,"Skylark St, Halifax, NS B3M 2P4",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/room-for-rent/1688345331,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
private space available for rent for short term,750,2024-03-16T03:40:36.000Z,"Halifax, NS B3K",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/private-space-available-for-rent-for-short-term/1688338922,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Cozy 2 Bedroom House,2400,2024-03-16T03:15:31.000Z,"Brookside, NS B3T 1R1",House,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/cozy-2-bedroom-house/1687231700,Kijiji User,Owner,2,1 Year,Yes,01-Apr-24,"1,100",No,No,Outdoors only,,,,,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No
apartment ,2450,2024-03-16T02:52:16.000Z,"5633 Fenwick St, Halifax, NS B3H 4M2",,2,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/apartment/1688337044,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Summer Sublet - Halifax,900,2024-03-16T01:39:05.000Z,"Coburg Rd, Halifax, NS B3H 1Z4",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/summer-sublet-halifax/1688333356,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"BACHELOR/ STUDIO  UNIT AVAIL. NOW or April 01, 2024",1475,2024-03-16T01:00:29.000Z,"Halifax, NS B3H 4K2",Apartment,Bachelor/Studio,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bachelor-studio-unit-avail-now-or-april-01-2024/1674421968,Kijiji User,Professional,0,1 Year,No,01-Apr-24,400,No,No,Yes,,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
Fantastic One Bedroom in Central Spryfield April 15th $1695.00,1695,2024-03-16T01:00:00.000Z,"56 Old Sambro Road, Halifax, NS, B3R 1R1",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/fantastic-one-bedroom-in-central-spryfield-april-15th-1695-00/1688327707,Kijiji User,Professional,1,1 Year,No,15-Apr-24,Not Available,No,No,No,,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No
Fantastic one bedroom in Halifax's North-end- MAY 1ST,1995,2024-03-16T00:18:00.000Z,"5511 Charles St., Halifax, NS, B3K 1K1",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/fantastic-one-bedroom-in-halifaxs-north-end-may-1st/1688327708,Kijiji User,Professional,0,1 Year,No,01-May-24,Not Available,No,No,No,,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No
Beautiful 2 Bedroom at The Crane August 1st,2795,2024-03-16T00:12:00.000Z,"1471 South Park Street, Halifax, NS, B3J 0J7",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-2-bedroom-at-the-crane-august-1st/1688327716,Kijiji User,Professional,0,1 Year,No,01-Aug-24,Not Available,No,Yes,No,,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No
"24-016 Lovely furnished condo. Halifax,  Heat and Lights incl",2000,2024-03-16T00:10:03.000Z,"Dunbrack Street, Halifax, NS, B3M 3G7",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/24-016-lovely-furnished-condo-halifax-heat-and-lights-incl/1685407525,Kijiji User,Professional,1,1 Year,Limited,01-Apr-24,Not Available,Yes,No,No,,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
24-016 Lovely furnished condo in Halifax  Heat incl,2000,2024-03-16T00:10:03.000Z,"Dunbrack Street, Halifax, NS, B3M 3G7",,1,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/24-016-lovely-furnished-condo-in-halifax-heat-incl/1685407553,Kijiji User,Professional,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"2 Bedroom, 2 Level Apartment at 100 Camelot Lane",1800,2024-03-16T00:10:03.000Z,"100 Camelot lane, Halifax, NS, B3M 3Y4",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-2-level-apartment-at-100-camelot-lane/1685407517,Kijiji User,Professional,1,1 Year,Limited,01-Apr-24,Not Available,No,No,No,,,,,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No
"24-004 Gorgeous views. Furnished, Flexible lease",2500,2024-03-16T00:10:01.000Z,"Ketch Harbour Road, Herring Cove, NS, B3V 1J4",,2,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/24-004-gorgeous-views-furnished-flexible-lease/1682653823,Kijiji User,Professional,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
24-003  Fabulous custom home on the Ocean. Furnished! Views!,5000,2024-03-16T00:10:01.000Z,"Ketch Harbour Road, Herring Cove, NS, B3N 1H5",,4,3.5,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/24-003-fabulous-custom-home-on-the-ocean-furnished-views/1682653812,Kijiji User,Professional,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Room to Sublet June 1 to Aug 30,990,2024-03-15T23:59:47.000Z,"Jubilee Rd, Halifax, NS B3H",,,,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/room-to-sublet-june-1-to-aug-30/1688327269,Kijiji User,Private seller,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Private room for sublease,900,2024-03-15T23:26:13.000Z,"Southwood Drive, Halifax, NS",,1,1,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/private-room-for-sublease/1688325164,Kijiji User,Owner,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
