,title,price,date_posted,address,rental_type,num_bedrooms,num_bathrooms,url,company_type,num_parking,agreement_type,pet_friendly,move_in_date,size_sqft,furnished,air_conditioning,smoking_permitted,barrier_free_entrances_ramps,visual_aids,accessible_washrooms_in_suite,heat,hydro,water,cable_tv,internet,laundry_unit,laundry_building,dishwasher,fridge_freezer,yard,balcony,building_security,building_elevator,building_gym,bycycle_parking,storage_space
10,For rent,12000.0,2024-03-17 01:42:05+00:00,"Olivet St, Halifax, NS B3L 4A5",Apartment,2.0,1.0,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/for-rent/1688428885,Owner,0.0,1 Year,Limited,2024-04-12 02:10:54.545454592,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,1 Bedroom in 4 Bedroom Apartment  Sublet May 1st - Aug 31st,8370.0,2024-03-17 01:34:18+00:00,"Seymour Street, Halifax, NS",Apartment,1.0,1.0,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/1-bedroom-in-4-bedroom-apartment-sublet-may-1st-aug-31st/1688421105,Private seller,0.0,1 Year,Limited,2024-04-17 15:16:21.818181888,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12,AMAZING 1 BEDROOM AVAILABLE IN CLAYTON PARK,18390.0,2024-03-17 01:01:49+00:00,"85 Westgrove, 241 Willett Street, 235 Willett Street, Halifax, NS, B3M 3L7",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/amazing-1-bedroom-available-in-clayton-park/1688104514,Professional,1.0,1 Year,Limited,2024-04-23 04:21:49.090909184,Not Available,False,False,True,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True
13,OPEN HOUSE SATURDAY 10-4 - 1 BEDROOM DOWNTOWN HALIFAX,10000.0,2024-03-17 01:01:46+00:00,"1015 Barrington Street, Halifax, NS, B3H 4R4",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/open-house-saturday-10-4-1-bedroom-downtown-halifax/1667845560,Professional,0.0,1 Year,Limited,2024-04-28 17:27:16.363636480,Not Available,False,False,True,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,False,True,False
14,RETAIL SPACE FOR LEASE SPRING GARDEN ROAD,10000.0,2024-03-17 01:01:45+00:00,"5640 Spring Garden Road, Halifax, NS, B3J 3M7",Apartment,1.0,1.0,https://www.kijiji.ca/v-commercial-office-space/city-of-halifax/retail-space-for-lease-spring-garden-road/1505871953,Professional,0.0,1 Year,Limited,2024-05-04 06:32:43.636363520,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,HALIFAX WATERFRONT PRIME OFFICE SPACE,10000.0,2024-03-17 01:01:45+00:00,"1601 Lower Water St., Halifax, NS, B3J 2P6",Apartment,1.0,1.0,https://www.kijiji.ca/v-commercial-office-space/city-of-halifax/halifax-waterfront-prime-office-space/1505865483,Professional,0.0,1 Year,Limited,2024-05-09 19:38:10.909090816,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,OPEN HOUSE SATURDAY 10-4 -  2 BEDROOM DOWNTOWN HALIFAX,10000.0,2024-03-17 01:01:44+00:00,"1545 / 1551 South Park Street, Halifax, NS, B3J 4B3",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/open-house-saturday-10-4-2-bedroom-downtown-halifax/1683700599,Professional,0.0,1 Year,Limited,2024-05-15 08:43:38.181818112,Not Available,False,False,True,True,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,True,False,False
17,OPEN HOUSE SATURDAY 10-4 - 1 BEDROOM NEAR PUBLIC GARDENS,10000.0,2024-03-17 01:01:44+00:00,"1545 / 1551 South Park Street, Halifax, NS, B3J 4B3",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/open-house-saturday-10-4-1-bedroom-near-public-gardens/1678071862,Professional,0.0,1 Year,Limited,2024-05-20 21:49:05.454545408,Not Available,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,True,True,True,True,False
18,LARGE 2 BEDROOM IN WEST END HALIFAX,22910.0,2024-03-17 01:01:43+00:00,"6969 Bayers Road, Halifax, NS, B3L 4P3",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/large-2-bedroom-in-west-end-halifax/1570198829,Professional,1.0,1 Year,No,2024-05-26 10:54:32.727272704,Not Available,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,True,True,False,False,False,False,False
19,THE CRANE- 2-Bedroom unit-301-June 1st-$2795.00,27950.0,2024-03-17 00:36:00+00:00,"1471 South Park Street, Halifax, NS, B3J 0J7",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/the-crane-2-bedroom-unit-301-june-1st-2795-00/1688423174,Professional,0.0,1 Year,No,2024-06-01 00:00:00.000000000,Not Available,False,True,False,True,True,False,True,False,True,False,False,True,False,True,True,False,True,True,True,False,False,False
20,Room for Rent in Central Halifax,10000.0,2024-03-17 00:24:07+00:00,"2216 Monastery Ln, Halifax, NS B3L 1E9",Apartment,1.0,1.0,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/room-for-rent-in-central-halifax/1688424328,Private seller,0.0,1 Year,Limited,2024-04-27 12:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,"23-075 Large family home in Pine Bluff, a beautiful Halifax area",42000.0,2024-03-17 00:09:41+00:00,"Litchfield Crescent, Halifax, NS, B3P 2N4",House,3.0,3.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/23-075-large-family-home-in-pine-bluff-a-beautiful-halifax-area/1685510401,Professional,2.0,1 Year,Limited,2024-03-24 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,False
22,Electric Vehicle charging at North End Halifax apartment,26950.0,2024-03-17 00:08:56+00:00,"3807 Mont Blanc Terrace, Halifax, NS, B3K 6R9",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/electric-vehicle-charging-at-north-end-halifax-apartment/1677789495,Professional,0.0,1 Year,Limited,2024-03-15 00:00:00.000000000,1382.0,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True
23,South End Home for rent,40000.0,2024-03-16 23:35:49+00:00,"McLean Street, Halifax, NS",House,4.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/south-end-home-for-rent/1688421114,Owner,2.0,1 Year,Limited,2024-05-01 00:00:00.000000000,2600.0,False,False,outdoors only,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,False
24,Small Apartment Room Available for Rent,9000.0,2024-03-16 23:27:36+00:00,"Seymour Street, Halifax, NS",Apartment,1.0,1.0,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/small-apartment-room-available-for-rent/1688420525,Private seller,0.0,1 Year,Limited,2024-05-01 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,2 BHK 1 bathroom apartment ,23500.0,2024-03-16 23:03:01+00:00,"131 Farnham Gate Rd, Halifax, NS B3M 4A4",Condo,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bhk-1-bathroom-apartment/1688418487,Owner,1.0,1 Year,Yes,2024-05-01 00:00:00.000000000,1000.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26,2 Bed 1 Bath Apartment,22000.0,2024-03-16 22:51:21+00:00,"Halifax, NS B3R 1W4",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bed-1-bath-apartment/1688417572,Owner,0.0,1 Year,Yes,2024-04-06 00:00:00.000000000,650.0,False,True,outdoors only,True,False,False,False,False,True,False,False,True,False,True,True,True,True,False,False,False,False,True
27,Stunning Executive Penthouse-Elegant 2-Bedroom- June 7th-$4595.0,45950.0,2024-03-16 22:00:00+00:00,"1471 South Park Street, Halifax, NS, B3J 0J7",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/stunning-executive-penthouse-elegant-2-bedroom-june-7th-4595-0/1688408715,Professional,0.0,1 Year,No,2024-06-07 00:00:00.000000000,Not Available,False,True,False,True,True,False,True,False,True,False,False,True,False,True,True,False,True,True,True,False,False,False
28,Large apartment room for rent,11750.0,2024-03-16 20:14:35+00:00,"Seymour St, Halifax, NS B3H 3M5",Apartment,1.0,1.0,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/large-apartment-room-for-rent/1688403619,Private seller,0.0,1 Year,Limited,2024-05-15 08:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,Private room for rent,7500.0,2024-03-16 19:50:48+00:00,"Young Street, Halifax, NS",Apartment,1.0,1.0,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/private-room-for-rent/1688401270,Private seller,0.0,1 Year,Limited,2024-04-22 16:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,Bright Downtown HFX Furnished Apt Near Waterfront and UNIVERSITI,24000.0,2024-03-16 19:39:52+00:00,"Kent St, Halifax, NS B3H",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bright-downtown-hfx-furnished-apt-near-waterfront-and-universiti/1688400071,Owner,1.0,Month-to-month,Yes,2024-03-31 00:00:00.000000000,1200.0,True,True,outdoors only,True,False,False,True,True,True,True,True,False,True,False,False,True,True,False,False,False,False,False
31,Renovated One Bedroom Apartment in Halifax- 27 Evans Avenue,13500.0,2024-03-16 18:45:34+00:00,"27 Evans Avenue, Halifax, NS",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/renovated-one-bedroom-apartment-in-halifax-27-evans-avenue/1688127691,Owner,1.0,1 Year,Limited,2024-03-01 00:00:00.000000000,680.0,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,False,True,True,False,False,False
32,2 BEDROOM APARTMENT IN HALIFAX FOR RENT // RICHMOND YARDS,26950.0,2024-03-16 18:00:26+00:00,"Clifton Street, Halifax, NS",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-apartment-in-halifax-for-rent-richmond-yards/1688389099,Owner,0.0,1 Year,No,2024-05-01 00:00:00.000000000,990.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,True,True,True,True,True
33,Charming 3bedroom single house in South end of Halifax,30000.0,2024-03-16 16:57:13+00:00,"Halifax, NS B3H 2S9",House,3.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/charming-3bedroom-single-house-in-south-end-of-halifax/1688381999,Owner,1.0,1 Year,Limited,2024-06-01 00:00:00.000000000,1800.0,False,False,outdoors only,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
34,Seeking Place to Call Home ,8000.0,2024-03-16 16:00:26+00:00,"Halifax, NS B3M 3W8",Apartment,0.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/seeking-place-to-call-home/1688375355,Owner,0.0,1 Year,Yes,2024-04-01 00:00:00.000000000,100.0,False,False,outdoors only,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,Executive Furnished Condo Rental,28500.0,2024-03-16 15:15:31+00:00,"1445 South Park Street, Halifax, NS",Condo,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/executive-furnished-condo-rental/1686951552,Professional,1.0,1 Year,No,2024-03-04 00:00:00.000000000,890.0,True,True,False,True,False,False,True,False,True,False,True,True,False,True,True,False,False,True,True,True,False,True
36,1 bedroom shared house sublet,9150.0,2024-03-16 15:10:44+00:00,"1341 Edward St, Halifax, NS B3H 3H5",Apartment,1.0,1.0,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/1-bedroom-shared-house-sublet/1688369381,Private seller,0.0,1 Year,Limited,2024-03-13 08:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,1 bedroom for sublet,9000.0,2024-03-16 14:58:03+00:00,"Halifax, NS B3J 1C2",Apartment,1.0,1.0,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/1-bedroom-for-sublet/1688367641,Private seller,0.0,1 Year,Limited,2024-03-22 16:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,Bedroom with pvt kitchen and bath avbl april 1,15000.0,2024-03-16 14:46:23+00:00,"8 Higgins Ave, Beechville, NS B3T 1A7",House,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bedroom-with-pvt-kitchen-and-bath-avbl-april-1/1688366439,Owner,1.0,1 Year,No,2024-04-01 00:00:00.000000000,650.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
39,1 Bed Room Executive ,16000.0,2024-03-16 14:33:55+00:00,"38 Travertine Ct, Halifax, NS B3R 1X6",Basement,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bed-room-executive/1688365108,Owner,1.0,1 Year,Limited,2024-04-01 00:00:00.000000000,1050.0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,3 Bedroom/3 Bath EVERYTHING INCLUDED - Fairview,28500.0,2024-03-16 14:17:02+00:00,"Halifax, NS B3N 2N4",Apartment,3.0,3.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/3-bedroom-3-bath-everything-included-fairview/1688363270,Owner,1.0,1 Year,No,2024-04-02 00:00:00.000000000,1500.0,False,True,False,True,False,False,True,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False
41,Room (single/double occupancy) - Downtown Halifax,9000.0,2024-03-16 13:58:28+00:00,"Halifax, NS B3H",Apartment,1.0,1.0,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/room-single-double-occupancy-downtown-halifax/1688361566,Private seller,0.0,1 Year,Limited,2024-04-06 08:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42,2 Bedrooms Apartment for Rent - 9 - 54 Paige Plaza,20950.0,2024-03-16 13:09:44+00:00,"54 Paige Plaza, Lower Sackville, NS, B4E 0J6",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedrooms-apartment-for-rent-9-54-paige-plaza/1680021792,Professional,0.0,1 Year,Yes,2024-04-10 16:00:00.000000000,928.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
43,Newly Reno House Rental,27000.0,2024-03-16 12:15:29+00:00,"Halifax, NS B3N 1B9",House,3.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/newly-reno-house-rental/1688353992,Owner,2.0,1 Year,Limited,2024-04-15 00:00:00.000000000,1800.0,True,False,outdoors only,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False
44,DUTCH VILLAGE ROAD CORNER COMMERCIAL RETAIL SPACE,10000.0,2024-03-16 11:29:45+00:00,"Halifax, NS B3N 2L5",Apartment,1.0,1.0,https://www.kijiji.ca/v-commercial-office-space/city-of-halifax/dutch-village-road-corner-commercial-retail-space/1688352004,Owner,0.0,1 Year,Limited,2024-03-23 12:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,"Beautiful, bright, newly renovated 3 bed basement unit",22950.0,2024-03-15 18:35:30+00:00,"Pine Grove Drive, Halifax, NS",Basement,3.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-bright-newly-renovated-3-bed-basement-unit/1685165336,Owner,0.0,1 Year,Limited,2024-03-01 00:00:00.000000000,850.0,False,False,outdoors only,True,False,False,False,False,True,False,False,True,False,True,True,True,False,False,False,False,False,False
46,4 Bedroom House in Halifax for March,39950.0,2024-03-15 17:18:28+00:00,"12 Palmer Hill, Halifax, NS, B3N 1S5",House,3.0,3.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/4-bedroom-house-in-halifax-for-march/1684095786,Professional,0.0,1 Year,No,2024-03-01 00:00:00.000000000,4400.0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
47,Bright room in shared home *Private entrance*,10000.0,2024-03-16 11:27:53+00:00,"Beresford Rd, Halifax, NS B3L 3R9",Apartment,1.0,1.0,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/bright-room-in-shared-home-private-entrance/1688351952,Private seller,0.0,1 Year,Limited,2024-03-16 12:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,BEAUTIFUL ONE BEDROOM AT THE CRANE- APRIL 1ST,19950.0,2024-03-16 11:24:00+00:00,"1471 South Park Street, Halifax, NS, B3J 0J7",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-one-bedroom-at-the-crane-april-1st/1688345740,Professional,0.0,1 Year,No,2024-04-01 00:00:00.000000000,Not Available,False,True,False,True,True,False,True,False,True,False,False,True,False,True,True,False,True,True,True,False,False,False
49,"2 bedroom and 2  bathroom Flat , the old North End Halifax",30000.0,2024-03-16 09:16:00+00:00,"Halifax, NS, B3K3W8",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-and-2-bathroom-flat-the-old-north-end-halifax/1688345366,Owner,1.0,1 Year,Yes,2024-04-01 00:00:00.000000000,711.0,False,True,outdoors only,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
50,Room for rent,4500.0,2024-03-16 09:15:34+00:00,"Skylark St, Halifax, NS B3M 2P4",Apartment,1.0,1.0,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/room-for-rent/1688345331,Private seller,0.0,1 Year,Limited,2024-04-01 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,private space available for rent for short term,7500.0,2024-03-16 03:40:36+00:00,"Halifax, NS B3K",Apartment,1.0,1.0,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/private-space-available-for-rent-for-short-term/1688338922,Private seller,0.0,1 Year,Limited,2024-04-01 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,Cozy 2 Bedroom House,24000.0,2024-03-16 03:15:31+00:00,"Brookside, NS B3T 1R1",House,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/cozy-2-bedroom-house/1687231700,Owner,2.0,1 Year,Yes,2024-04-01 00:00:00.000000000,1100.0,False,False,outdoors only,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False
53,apartment ,24500.0,2024-03-16 02:52:16+00:00,"5633 Fenwick St, Halifax, NS B3H 4M2",Apartment,2.0,1.0,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/apartment/1688337044,Owner,0.0,1 Year,Limited,2024-04-01 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,Summer Sublet - Halifax,9000.0,2024-03-16 01:39:05+00:00,"Coburg Rd, Halifax, NS B3H 1Z4",Apartment,1.0,1.0,https://www.kijiji.ca/v-room-rental-roommate/city-of-halifax/summer-sublet-halifax/1688333356,Private seller,0.0,1 Year,Limited,2024-04-01 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,"BACHELOR/ STUDIO  UNIT AVAIL. NOW or April 01, 2024",14750.0,2024-03-16 01:00:29+00:00,"Halifax, NS B3H 4K2",Apartment,0.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bachelor-studio-unit-avail-now-or-april-01-2024/1674421968,Professional,0.0,1 Year,No,2024-04-01 00:00:00.000000000,400.0,False,False,True,True,False,False,True,True,True,False,False,False,True,True,True,True,False,False,True,False,True,True
56,Fantastic One Bedroom in Central Spryfield April 15th $1695.00,16950.0,2024-03-16 01:00:00+00:00,"56 Old Sambro Road, Halifax, NS, B3R 1R1",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/fantastic-one-bedroom-in-central-spryfield-april-15th-1695-00/1688327707,Professional,1.0,1 Year,No,2024-04-15 00:00:00.000000000,Not Available,False,False,False,True,True,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False
57,Fantastic one bedroom in Halifax's North-end- MAY 1ST,19950.0,2024-03-16 00:18:00+00:00,"5511 Charles St., Halifax, NS, B3K 1K1",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/fantastic-one-bedroom-in-halifaxs-north-end-may-1st/1688327708,Professional,0.0,1 Year,No,2024-05-01 00:00:00.000000000,Not Available,False,False,False,True,True,False,True,False,True,False,False,False,True,True,True,False,True,False,True,False,False,False
58,Beautiful 2 Bedroom at The Crane August 1st,27950.0,2024-03-16 00:12:00+00:00,"1471 South Park Street, Halifax, NS, B3J 0J7",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-2-bedroom-at-the-crane-august-1st/1688327716,Professional,0.0,1 Year,No,2024-08-01 00:00:00.000000000,Not Available,False,True,False,True,True,False,True,False,True,False,False,True,False,True,True,False,True,True,True,False,False,False
59,"24-016 Lovely furnished condo. Halifax,  Heat and Lights incl",20000.0,2024-03-16 00:10:03+00:00,"Dunbrack Street, Halifax, NS, B3M 3G7",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/24-016-lovely-furnished-condo-halifax-heat-and-lights-incl/1685407525,Professional,1.0,1 Year,Limited,2024-04-01 00:00:00.000000000,Not Available,True,False,False,True,False,False,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,False
60,24-016 Lovely furnished condo in Halifax  Heat incl,20000.0,2024-03-16 00:10:03+00:00,"Dunbrack Street, Halifax, NS, B3M 3G7",Apartment,1.0,1.0,https://www.kijiji.ca/v-short-term-rental/city-of-halifax/24-016-lovely-furnished-condo-in-halifax-heat-incl/1685407553,Professional,0.0,1 Year,Limited,2024-04-01 00:00:00.000000000,Not Available,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
