title,price,date_posted,address,rental_type,num_bedrooms,num_bathrooms,url,company,company_type,Parking Included,Agreement Type,Pet Friendly,Move-In Date,Size (sqft),Furnished,Air Conditioning,Smoking Permitted,Elevator Accessibility Features,Barrier-free Entrances and Ramps,Visual Aids,Accessible Washrooms in Suite,heat,hydro,water,cable_tv,internet,laundry_unit,laundry_building,dishwasher,fridge_freezer,yard,balcony,building_security,building_elevator,building_gym,bycycle_parking,storage_space
LARGE 2 BEDROOM IN WEST END HALIFAX,2291.,2024-03-26T21:01:46.000Z,"6969 Bayers Road, Halifax, NS, B3L 4P3",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/large-2-bedroom-in-west-end-halifax/1570198829,Kijiji User,Professional,1,1 Year,No,,Not Available,No,No,No,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
2BDRM 2BATH EXECUTIVE FLOOR FANTASTIC GEM,3200.,2024-03-26T20:38:07.000Z,"South Park Street, Halifax, NS",Condo,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2bdrm-2bath-executive-floor-fantastic-gem/1689294634,Kijiji User,Owner,1,Month-to-month,Limited,"May 1, 2024","1,250",No,Yes,Outdoors only,,,,,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
1 bed 1 bath,1300.,2024-03-26T20:36:51.000Z,"1452 Brenton St, Halifax, NS B3J 2K7",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bed-1-bath/1689294524,Kijiji User,Owner,0,1 Year,No,"May 1, 2024",250,No,Yes,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Beautiful 2 Bedroom at The Vuze!,2900.,2024-03-26T20:08:27.000Z,"5633 Fenwick Street, Halifax, NS, B3H 4M2",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-2-bedroom-at-the-vuze/1688028966,Kijiji User,Professional,1,Not Available,Yes,"March 1, 2024","1,050",No,Yes,No,,Not Available,Not Available,Not Available,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No
EURO 2 BEDROOM 1 BATH,2600.,2024-03-26T20:08:27.000Z,"5633 Fenwick Street, Halifax, NS, B3H 4M2",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/euro-2-bedroom-1-bath/1688029020,Kijiji User,Professional,1,Not Available,Yes,"March 1, 2024",800,No,Yes,No,,Not Available,Not Available,Not Available,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No
Beautiful Studio Apartment at The Vuze!,1995.,2024-03-26T20:08:27.000Z,"5633 Fenwick Street, Halifax, NS, B3H 4M2",Apartment,Bachelor/Studio,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-studio-apartment-at-the-vuze/1688028962,Kijiji User,Professional,1,Not Available,Yes,"March 1, 2024",500,No,Yes,No,,Not Available,Not Available,Not Available,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No
Beautiful 1 Bedroom Penthouse at The Vuze!,2450.,2024-03-26T20:08:27.000Z,"5633 Fenwick Street, Halifax, NS, B3H 4M2",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-1-bedroom-penthouse-at-the-vuze/1688028957,Kijiji User,Professional,1,Not Available,Yes,"April 1, 2024",800,No,Yes,No,,Not Available,Not Available,Not Available,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No
Bright 1 Bedroom on Oxford Street Near Dalhousie University,1995.,2024-03-26T20:08:26.000Z,"1585 Oxford Street, Halifax, NS, B3H 3Z3",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bright-1-bedroom-on-oxford-street-near-dalhousie-university/1688028725,Kijiji User,Professional,1,Not Available,Yes,"March 2, 2024",583,No,No,No,,Not Available,Not Available,Not Available,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes
Bright 1 Bedroom Near Dalhousie University,1850.,2024-03-26T20:08:26.000Z,"1545 Oxford Street, Halifax, NS, B3H 3Z3",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bright-1-bedroom-near-dalhousie-university/1688029019,Kijiji User,Professional,1,Not Available,Yes,"March 1, 2024",475,No,No,No,,Not Available,Not Available,Not Available,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes
NEW BUILD - 2 Bedroom Lower Flat,2250.,2024-03-26T20:08:24.000Z,"29 McIntosh Street, Halifax, NS, B3R 1G9",Basement,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/new-build-2-bedroom-lower-flat/1688029421,Kijiji User,Professional,1,Not Available,Yes,"April 1, 2024",1,No,Yes,No,,Not Available,Not Available,Not Available,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Room for rent $700,,2024-03-26T19:29:04.000Z,"141 Harlington Crescent, Halifax, NS B3M 3M9",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/room-for-rent-700/1689289124,Kijiji User,Owner,0,Month-to-month,No,"April 1, 2024",300,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"Fantastic 2 bedroom North end Halifax, July 15th- $2295.00",2295.,2024-03-26T19:00:06.000Z,"5511 Charles St., Halifax, NS, B3K 1K1",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/fantastic-2-bedroom-north-end-halifax-july-15th-2295-00/1689282114,Kijiji User,Professional,0,1 Year,No,"July 15, 2024",Not Available,No,No,No,,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No
2 Bedrooms + DEN in Halifax for June,4615.,2024-03-26T18:52:04.000Z,"7037 Mumford Rd, Halifax, NS, B3L 2J1",Apartment,2 + Den,3,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedrooms-den-in-halifax-for-june/1685269846,Kijiji User,Professional,0,1 Year,Limited,"June 1, 2024","1,668",No,No,No,,,,,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
2 Bedroom in Halifax for June,3695.,2024-03-26T18:51:59.000Z,"7037 Mumford Rd, Halifax, NS, B3L 2J1",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-in-halifax-for-june/1684096007,Kijiji User,Professional,0,1 Year,Limited,"June 1, 2024","1,238",No,No,No,,,,,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
1 Bedroom Downtown Halifax for July,2195.,2024-03-26T18:51:51.000Z,"1530 Birmingham Street, Halifax, NS, B3J 0B5",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-downtown-halifax-for-july/1688141564,Kijiji User,Professional,0,1 Year,No,"July 1, 2024",530,No,No,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
1 Bedroom + DEN Downtown Halifax for July,2195.,2024-03-26T18:51:43.000Z,"1530 Birmingham Street, Halifax, NS, B3J 0B5",Apartment,1 + Den,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-den-downtown-halifax-for-july/1688027349,Kijiji User,Professional,0,1 Year,No,"July 1, 2024",788,No,No,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes
1 Bedroom + DEN Downtown Halifax for June,2145.,2024-03-26T18:51:37.000Z,"1530 Birmingham Street, Halifax, NS, B3J 0B5",Apartment,1 + Den,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-den-downtown-halifax-for-june/1685558063,Kijiji User,Professional,0,1 Year,No,"June 1, 2024",689,No,No,No,,,,,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes
Stylish One Bedroom Apartment Available for Sublease on April 1s,1863.,2024-03-26T18:50:01.000Z,"2710 Agricola St, Halifax, NS B3K 0J7",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/stylish-one-bedroom-apartment-available-for-sublease-on-april-1s/1689285977,Kijiji User,Owner,0,1 Year,Yes,"April 1, 2024",531,No,Yes,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
Fantastic central Spryfield- 2 Bedrooms- August 1st-$1795.00,1795.,2024-03-26T18:24:16.000Z,"132 Old Sambro Road, Halifax, NS, B3R 1R3",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/fantastic-central-spryfield-2-bedrooms-august-1st-1795-00/1689282110,Kijiji User,Professional,1,1 Year,No,"August 1, 2024",Not Available,No,No,No,,,,,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No
24-020 Lovely 4 br Halifax home.  UTILITIES INCL,2900.,2024-03-26T18:21:23.000Z,"Juniper Crescent, Halifax, NS, B3R 2H4",House,4,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/24-020-lovely-4-br-halifax-home-utilities-incl/1686649692,Kijiji User,Professional,3+,1 Year,Limited,"April 1, 2024",Not Available,No,Yes,No,,,,,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
"24-016 Lovely furnished condo. Halifax,  Heat and Lights incl",2000.,2024-03-26T18:21:23.000Z,"Dunbrack Street, Halifax, NS, B3M 3G7",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/24-016-lovely-furnished-condo-halifax-heat-and-lights-incl/1685407525,Kijiji User,Professional,1,1 Year,Limited,"April 1, 2024",Not Available,Yes,No,No,,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No
"Fantastic 2 bedroom North end Halifax, July 15th- $2295.00",2295.,2024-03-26T18:18:02.000Z,"5511 Charles St., Halifax, NS, B3K 1K1",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/fantastic-2-bedroom-north-end-halifax-july-15th-2295-00/1689282113,Kijiji User,Professional,0,1 Year,No,"July 15, 2024",Not Available,No,No,No,,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No
"The Junction - 2 Bedroom, 2 Bathroom Apartment for Rent",2475.,2024-03-26T18:18:02.000Z,"3075 Devonshire Avenue, Halifax, NS, B3K 0H5",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/the-junction-2-bedroom-2-bathroom-apartment-for-rent/1689281491,Kijiji User,Professional,0,1 Year,Yes,,Not Available,No,Yes,No,,,,,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No
3 Beds 1 Bath House For Rent,2700.,2024-03-26T18:01:21.000Z,"Halifax, NS B3N 2E1",House,3 + Den,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/3-beds-1-bath-house-for-rent/1689281489,Kijiji User,Owner,3+,1 Year,Yes,"May 1, 2024","1,250",No,No,No,,,,,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
Newly Renovated  2 Bedroom  Apartments - DownTown Halifax,,2024-03-26T17:30:33.000Z,"5536 Sackville Street, Halifax, NS",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/newly-renovated-2-bedroom-apartments-downtown-halifax/1687350368,Kijiji User,Professional,0,1 Year,Limited,"March 1, 2024",813,No,No,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
1 Bedroom Boss Plaza Message Luke $1895 May/July AVAIL,1895.,2024-03-26T17:20:29.000Z,"Supreme Court, Halifax, NS",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-boss-plaza-message-luke-1895-may-july-avail/1689277904,Kijiji User,Owner,1,1 Year,Limited,"May 1, 2024",700,No,Yes,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes
2 BR -  Condo Style - Dog Friendly!,2210.,2024-03-26T17:12:43.000Z,"16 Bently Drive, Halifax, NS, B3S 0G9",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-br-condo-style-dog-friendly/1686166113,Kijiji User,Professional,0,1 Year,Limited,"May 1, 2024","1,179",No,No,No,,,,,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes
2766 Gladstone Street- 1 bedroom unit ! Available MAY 01 2024!,,2024-03-26T16:45:03.000Z,"Halifax, NS B3K 4W5",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2766-gladstone-street-1-bedroom-unit-available-may-01-2024/1689274633,Kijiji User,Owner,0,1 Year,No,"May 1, 2024",798,No,Yes,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
2766 Gladstone Street-NEW 2 bedroom unit available now !,,2024-03-26T16:41:23.000Z,"Halifax, NS B3K 4W5",Apartment,2,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2766-gladstone-street-new-2-bedroom-unit-available-now/1689274329,Kijiji User,Owner,0,1 Year,Limited,"April 1, 2024","1,000",No,Yes,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
6353 Edinburgh St - Large 3 Bedroom Apartment - July 1 2024,2700.,2024-03-26T15:54:04.000Z,"6353 Edinburgh St, Halifax, NS, B3L 1W3",Apartment,3,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/6353-edinburgh-st-large-3-bedroom-apartment-july-1-2024/1689266073,Kijiji User,Professional,1,1 Year,No,"July 1, 2024",Not Available,No,No,No,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No
Looking for 1.5-2 bedroom for Sept 1,,2024-03-26T15:42:37.000Z,"2901 Windsor St, Halifax, B3K 5E5",Apartment,1 + Den,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/looking-for-1-5-2-bedroom-for-sept-1/1689269097,Kijiji User,Owner,1,1 Year,Yes,"September 1, 2024",700,No,Yes,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Beautiful 2 Bedroom Downtown Halifax- Steps From QE2 and Dal!,2595.,2024-03-26T15:42:18.000Z,"5620 South Street, Halifax, NS, B3J 0A7",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-2-bedroom-downtown-halifax-steps-from-qe2-and-dal/1689265542,Kijiji User,Professional,0,1 Year,No,"March 26, 2024",Not Available,No,Yes,No,,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
Two bedroom apartment for rent,1600.,2024-03-26T15:35:30.000Z,"Halifax, NS B3H 2X3",Apartment,2,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/two-bedroom-apartment-for-rent/1689267774,Kijiji User,Owner,1,Month-to-month,Yes,"May 1, 2024",999,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes
Beautiful 1 bedroom unit in Central Fairview! $1750.00,1750.,2024-03-26T15:24:01.000Z,"2 SYBYL COURT, HALIFAX, NS, B3M 1G8",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-1-bedroom-unit-in-central-fairview-1750-00/1689265563,Kijiji User,Professional,1,1 Year,No,"April 1, 2024",Not Available,No,No,No,,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No
2 Bedroom Apartment - July 1 - $1975 - Edinburgh St,1975.,2024-03-26T15:18:03.000Z,"6345 Edinburgh St, Halifax, NS, B3L 1W3",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-apartment-july-1-1975-edinburgh-st/1689266109,Kijiji User,Professional,1,1 Year,Limited,"July 1, 2023",Not Available,No,No,No,,,,,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
2 BEDROOMS / DEN / 2 BATHROOMS;  SHIRAZ 50+ COMMUNITY,2495.,2024-03-26T15:16:39.000Z,"Appaloosa Run, Hammonds Plains, NS",Apartment,2 + Den,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedrooms-den-2-bathrooms-shiraz-50-community/1689266617,Kijiji User,Owner,0,1 Year,Limited,"July 1, 2024","1,385",No,Yes,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No
1 Bedroom Apt - Avail June 1st in  Popular North End Halifax,1695.,2024-03-21T13:57:13.000Z,"3210 Agricola Street, Halifax, NS",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-apt-avail-june-1st-in-popular-north-end-halifax/1688832358,Kijiji User,Owner,1,1 Year,Limited,"June 1, 2024",700,No,Yes,Outdoors only,,,,,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
OPEN HOUSE SATURDAY 10-4  1 BEDROOM DOWNTOWN HALIFAX,,2024-03-26T01:52:16.000Z,"5651 Ogilvie Street, Halifax, NS, B3H 1B9",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/open-house-saturday-10-4-1-bedroom-downtown-halifax/1652777429,Kijiji User,Professional,0,1 Year,Limited,,Not Available,No,No,Yes,,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No
NOW SHOWING - Beautiful 2 Bedroom + Den **Farview**,2200.,2024-03-25T17:15:31.000Z,"Adelaide Avenue, Halifax, NS",Apartment,2 + Den,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/now-showing-beautiful-2-bedroom-den-farview/1687002562,Kijiji User,Owner,1,1 Year,No,"March 1, 2024","1,000",No,Yes,No,,,,,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
OPEN HOUSE SATURDAY 10-4 1 BEDROOM,,2024-03-26T01:52:45.000Z,"5415 Victoria Road, Halifax, NS, B3H 4K5",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/open-house-saturday-10-4-1-bedroom/1673351063,Kijiji User,Professional,0,1 Year,Limited,,Not Available,No,No,Yes,,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No
2 Bedroom + DEN Penthouse in Halifax for April,4195.,2024-03-25T18:57:23.000Z,"5450 Kaye Street, Halifax, NS, B3K 0G7",Apartment,2 + Den,2,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-den-penthouse-in-halifax-for-april/1679579341,Kijiji User,Professional,0,1 Year,No,"April 1, 2024","1,437",No,No,No,,,,,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
LOVELY 1 BEDROOM AVAILABLE IN CLAYTON PARK,1839.,2024-03-26T21:01:55.000Z,"85 Westgrove, 241 Willett Street, 235 Willett Street, Halifax, NS, B3M 3L7",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/lovely-1-bedroom-available-in-clayton-park/1688104514,Kijiji User,Professional,1,1 Year,Limited,,Not Available,No,No,Yes,,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes
3 Bedroom 2.5 Bathroom House,2500.,2024-03-26T15:15:38.000Z,"Broadholme Lane, Halifax, NS",House,3,2.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/3-bedroom-2-5-bathroom-house/1689265534,Kijiji User,Professional,2,1 Year,Limited,"April 1, 2024","2,500",No,No,Outdoors only,,,,,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No
"Central Halifax, large 1 bdrm, Parking, balcony",1795.,2024-03-26T15:06:19.000Z,"2360 Hunter Street, Halifax, NS, B3K 4V6",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/central-halifax-large-1-bdrm-parking-balcony/1689265578,Kijiji User,Professional,0,1 Year,No,"April 15, 2024",1,No,No,Outdoors only,,,,,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No
NEW!! 1 BDRM/1 BTHRM; HAMMONDS PLAINS; 50+ BLDG,1895.,2024-03-26T14:45:01.000Z,"Appaloosa Run, Hammonds Plains, NS",Apartment,1,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/new-1-bdrm-1-bthrm-hammonds-plains-50-bldg/1688678052,Kijiji User,Owner,0,1 Year,Limited,"September 1, 2024",790,No,Yes,No,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No
NEW! 1 & 2 bdrm apartments: $1895-$2495/mth;  Hammonds Plains,1995.,2024-03-26T14:44:01.000Z,"Appaloosa Run, Hammonds Plains, NS",Apartment,1 + Den,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/new-1-2-bdrm-apartments:-1895-2495-mth-hammonds-plains/1685373425,Kijiji User,Owner,0,1 Year,Limited,"October 1, 2024","1,010",No,Yes,No,,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No
FULL 7 BEDROOM HOUSE - JUNE 1 2024 - $1375 EACH PER MONTH,1375.,2024-03-26T14:30:42.000Z,"1686 Robie St, Halifax, NS, B3H 3E7",House,5+,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/full-7-bedroom-house-june-1-2024-1375-each-per-month/1686717258,Kijiji User,Professional,0,1 Year,Yes,"June 1, 2024",Not Available,No,No,No,,,,,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
1134 Tower Road - Brand New 2 Bedroom Apartment - May 1,2600.,2024-03-26T14:30:36.000Z,"1134 Tower Rd, Halifax, NS, B3H 2Y5",Apartment,2,1,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1134-tower-road-brand-new-2-bedroom-apartment-may-1/1688597389,Kijiji User,Professional,0,1 Year,No,"May 1, 2024",Not Available,No,Yes,No,,,,,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No
