,title,price,date_posted,address,rental_type,num_bedrooms,num_bathrooms,url,company_type,num_parking,agreement_type,pet_friendly,move_in_date,size_sqft,furnished,air_conditioning,smoking_permitted,barrier_free_entrances_ramps,visual_aids,accessible_washrooms_in_suite,heat,hydro,water,cable_tv,internet,laundry_unit,laundry_building,dishwasher,fridge_freezer,yard,balcony,building_security,building_elevator,building_gym,bycycle_parking,storage_space,postal_code,rate_per_sqft,location,lat,long,region
13,Beautiful 2 Bedroom at The Vuze!,2900.0,2024-03-26 20:08:27+00:00,"5633 Fenwick Street, Halifax, NS, B3H 4M2",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-2-bedroom-at-the-vuze/1688028966,Professional,1.0,Not Available,Yes,2024-03-01 00:00:00+00:00,1050.0,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False,True,True,False,False,B3H 4M2,2.76,"5633, Fenwick Street, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 1P8, Canada",44.6380516,-63.5755447,South End Halifax
14,EURO 2 BEDROOM 1 BATH,2600.0,2024-03-26 20:08:27+00:00,"5633 Fenwick Street, Halifax, NS, B3H 4M2",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/euro-2-bedroom-1-bath/1688029020,Professional,1.0,Not Available,Yes,2024-03-01 00:00:00+00:00,800.0,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False,True,True,False,False,B3H 4M2,3.25,"5633, Fenwick Street, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 1P8, Canada",44.6380516,-63.5755447,South End Halifax
15,Beautiful Studio Apartment at The Vuze!,1995.0,2024-03-26 20:08:27+00:00,"5633 Fenwick Street, Halifax, NS, B3H 4M2",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-studio-apartment-at-the-vuze/1688028962,Professional,1.0,Not Available,Yes,2024-03-01 00:00:00+00:00,500.0,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False,True,True,False,False,B3H 4M2,3.99,"5633, Fenwick Street, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 1P8, Canada",44.6380516,-63.5755447,South End Halifax
16,Beautiful 1 Bedroom Penthouse at The Vuze!,2450.0,2024-03-26 20:08:27+00:00,"5633 Fenwick Street, Halifax, NS, B3H 4M2",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-1-bedroom-penthouse-at-the-vuze/1688028957,Professional,1.0,Not Available,Yes,2024-04-01 00:00:00+00:00,800.0,False,True,False,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False,True,True,False,False,B3H 4M2,3.06,"5633, Fenwick Street, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 1P8, Canada",44.6380516,-63.5755447,South End Halifax
17,Bright 1 Bedroom on Oxford Street Near Dalhousie University,1995.0,2024-03-26 20:08:26+00:00,"1585 Oxford Street, Halifax, NS, B3H 3Z3",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bright-1-bedroom-on-oxford-street-near-dalhousie-university/1688028725,Professional,1.0,Not Available,Yes,2024-03-02 00:00:00+00:00,583.0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,B3H 3Z3,3.42,"The Kingsford, 1585, Oxford Street, Marlborough Woods, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 3Z3, Canada",44.63873935,-63.596791649323,South End Halifax
18,Bright 1 Bedroom Near Dalhousie University,1850.0,2024-03-26 20:08:26+00:00,"1545 Oxford Street, Halifax, NS, B3H 3Z3",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/bright-1-bedroom-near-dalhousie-university/1688029019,Professional,1.0,Not Available,Yes,2024-03-01 00:00:00+00:00,475.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,B3H 3Z3,3.89,"Oxford House, 1545, Oxford Street, Marlborough Woods, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 3Z3, Canada",44.63835265,-63.596596500000004,South End Halifax
20,Room for rent $700,1995.0,2024-03-26 19:29:04+00:00,"141 Harlington Crescent, Halifax, NS B3M 3M9",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/room-for-rent-700/1689289124,Owner,0.0,Month-to-month,No,2024-04-01 00:00:00+00:00,300.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,B3M 3M9,6.65,,,,Larry Uteck
21,"Fantastic 2 bedroom North end Halifax, July 15th- $2295.00",2295.0,2024-03-26 19:00:06+00:00,"5511 Charles St., Halifax, NS, B3K 1K1",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/fantastic-2-bedroom-north-end-halifax-july-15th-2295-00/1689282114,Professional,0.0,1 Year,No,2024-07-15 00:00:00+00:00,500.0,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,False,True,True,True,False,False,False,B3K 1K1,4.59,,,,North End Halifax
22,2 Bedrooms + DEN in Halifax for June,4615.0,2024-03-26 18:52:04+00:00,"7037 Mumford Rd, Halifax, NS, B3L 2J1",Apartment,2.0,3.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedrooms-den-in-halifax-for-june/1685269846,Professional,0.0,1 Year,Limited,2024-06-01 00:00:00+00:00,1668.0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,True,True,B3L 2J1,2.77,,,,West End of Halifax
23,2 Bedroom in Halifax for June,3695.0,2024-03-26 18:51:59+00:00,"7037 Mumford Rd, Halifax, NS, B3L 2J1",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-in-halifax-for-june/1684096007,Professional,0.0,1 Year,Limited,2024-06-01 00:00:00+00:00,1238.0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,True,True,B3L 2J1,2.98,,,,West End of Halifax
24,1 Bedroom Downtown Halifax for July,2195.0,2024-03-26 18:51:51+00:00,"1530 Birmingham Street, Halifax, NS, B3J 0B5",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-downtown-halifax-for-july/1688141564,Professional,0.0,1 Year,No,2024-07-01 00:00:00+00:00,530.0,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,False,True,True,True,B3J 0B5,4.14,,,,Downtown Halifax
25,1 Bedroom + DEN Downtown Halifax for July,2195.0,2024-03-26 18:51:43+00:00,"1530 Birmingham Street, Halifax, NS, B3J 0B5",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-den-downtown-halifax-for-july/1688027349,Professional,0.0,1 Year,No,2024-07-01 00:00:00+00:00,788.0,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False,True,True,True,B3J 0B5,2.79,,,,Downtown Halifax
26,1 Bedroom + DEN Downtown Halifax for June,2145.0,2024-03-26 18:51:37+00:00,"1530 Birmingham Street, Halifax, NS, B3J 0B5",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-den-downtown-halifax-for-june/1685558063,Professional,0.0,1 Year,No,2024-06-01 00:00:00+00:00,689.0,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,B3J 0B5,3.11,"1530, Birmingham Street, Downtown Halifax, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3J 0B5, Canada",44.643616,-63.5773532,Downtown Halifax
27,Stylish One Bedroom Apartment Available for Sublease on April 1s,1863.0,2024-03-26 18:50:01+00:00,"2710 Agricola St, Halifax, NS B3K 0J7",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/stylish-one-bedroom-apartment-available-for-sublease-on-april-1s/1689285977,Owner,0.0,1 Year,Yes,2024-04-01 00:00:00+00:00,531.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,True,True,True,B3K 0J7,3.51,,,,North End Halifax
28,Fantastic central Spryfield- 2 Bedrooms- August 1st-$1795.00,1795.0,2024-03-26 18:24:16+00:00,"132 Old Sambro Road, Halifax, NS, B3R 1R3",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/fantastic-central-spryfield-2-bedrooms-august-1st-1795-00/1689282110,Professional,1.0,1 Year,No,2024-08-01 00:00:00+00:00,500.0,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,False,True,False,False,False,False,B3R 1R3,3.59,"132, Old Sambro Road, Spryfield, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3R 1R3, Canada",44.612953399999995,-63.62250275222145,Spryfield Halifax
30,"24-016 Lovely furnished condo. Halifax,  Heat and Lights incl",2000.0,2024-03-26 18:21:23+00:00,"Dunbrack Street, Halifax, NS, B3M 3G7",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/24-016-lovely-furnished-condo-halifax-heat-and-lights-incl/1685407525,Professional,1.0,1 Year,Limited,2024-04-01 00:00:00+00:00,500.0,True,False,False,True,False,False,True,True,True,True,True,False,True,True,True,False,True,False,True,True,True,False,B3M 3G7,4.0,"Dunbrack Street, Fairview Estates, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3M 3G7, Canada",44.6545132,-63.65125,Fairview Halifax
31,"Fantastic 2 bedroom North end Halifax, July 15th- $2295.00",2295.0,2024-03-26 18:18:02+00:00,"5511 Charles St., Halifax, NS, B3K 1K1",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/fantastic-2-bedroom-north-end-halifax-july-15th-2295-00/1689282113,Professional,0.0,1 Year,No,2024-07-15 00:00:00+00:00,500.0,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,False,True,True,True,False,False,False,B3K 1K1,4.59,"5511, Charles Street, Downtown Halifax, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3K 1K2, Canada",44.65642465,-63.59019350435814,Downtown Halifax
32,"The Junction - 2 Bedroom, 2 Bathroom Apartment for Rent",2475.0,2024-03-26 18:18:02+00:00,"3075 Devonshire Avenue, Halifax, NS, B3K 0H5",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/the-junction-2-bedroom-2-bathroom-apartment-for-rent/1689281491,Professional,0.0,1 Year,Yes,2024-03-01 00:00:00+00:00,500.0,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False,False,B3K 0H5,4.95,,,,North End Halifax
34,Newly Renovated  2 Bedroom  Apartments - DownTown Halifax,1995.0,2024-03-26 17:30:33+00:00,"5536 Sackville Street, Halifax, NS",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/newly-renovated-2-bedroom-apartments-downtown-halifax/1687350368,Professional,0.0,1 Year,Limited,2024-03-01 00:00:00+00:00,813.0,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,True,True,False,True,True,,2.45,"Giant, 5536, Sackville Street, Downtown Halifax, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3J 1L1, Canada",44.6447282,-63.5790872,Downtown Halifax
35,1 Bedroom Boss Plaza Message Luke $1895 May/July AVAIL,1895.0,2024-03-26 17:20:29+00:00,"Supreme Court, Halifax, NS",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-boss-plaza-message-luke-1895-may-july-avail/1689277904,Owner,1.0,1 Year,Limited,2024-05-01 00:00:00+00:00,700.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True,,2.71,"Supreme Court, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3N 0G1, Canada",44.65776205,-63.63365338118419,Unknown
36,2 BR -  Condo Style - Dog Friendly!,2210.0,2024-03-26 17:12:43+00:00,"16 Bently Drive, Halifax, NS, B3S 0G9",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-br-condo-style-dog-friendly/1686166113,Professional,0.0,1 Year,Limited,2024-05-01 00:00:00+00:00,1179.0,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,B3S 0G9,1.87,"16, Bently Drive, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3S 0G9, Canada",44.6495579,-63.6559124,Clayton Park
37,2766 Gladstone Street- 1 bedroom unit ! Available MAY 01 2024!,1995.0,2024-03-26 16:45:03+00:00,"Halifax, NS B3K 4W5",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2766-gladstone-street-1-bedroom-unit-available-may-01-2024/1689274633,Owner,0.0,1 Year,No,2024-05-01 00:00:00+00:00,798.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,True,True,True,True,B3K 4W5,2.5,"Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, Canada",44.648618,-63.5859487,North End Halifax
38,2766 Gladstone Street-NEW 2 bedroom unit available now !,1995.0,2024-03-26 16:41:23+00:00,"Halifax, NS B3K 4W5",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2766-gladstone-street-new-2-bedroom-unit-available-now/1689274329,Owner,0.0,1 Year,Limited,2024-04-01 00:00:00+00:00,1000.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,False,True,True,True,True,True,B3K 4W5,2.0,"Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, Canada",44.648618,-63.5859487,North End Halifax
39,6353 Edinburgh St - Large 3 Bedroom Apartment - July 1 2024,2700.0,2024-03-26 15:54:04+00:00,"6353 Edinburgh St, Halifax, NS, B3L 1W3",Apartment,3.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/6353-edinburgh-st-large-3-bedroom-apartment-july-1-2024/1689266073,Professional,1.0,1 Year,No,2024-07-01 00:00:00+00:00,500.0,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,B3L 1W3,5.4,"6353, Edinburgh Street, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3L 1W3, Canada",44.6529065,-63.6063871,West End of Halifax
40,Looking for 1.5-2 bedroom for Sept 1,1995.0,2024-03-26 15:42:37+00:00,"2901 Windsor St, Halifax, B3K 5E5",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/looking-for-1-5-2-bedroom-for-sept-1/1689269097,Owner,1.0,1 Year,Yes,2024-09-01 00:00:00+00:00,700.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,B3K 5E5,2.85,"Halifax Forum, 2901, Windsor Street, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3K 5E5, Canada",44.655340300000006,-63.60422689757834,North End Halifax
41,Beautiful 2 Bedroom Downtown Halifax- Steps From QE2 and Dal!,2595.0,2024-03-26 15:42:18+00:00,"5620 South Street, Halifax, NS, B3J 0A7",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-2-bedroom-downtown-halifax-steps-from-qe2-and-dal/1689265542,Professional,0.0,1 Year,No,2024-03-26 00:00:00+00:00,500.0,False,True,False,True,True,False,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,False,B3J 0A7,5.19,,,,Downtown Halifax
42,Two bedroom apartment for rent,1600.0,2024-03-26 15:35:30+00:00,"Halifax, NS B3H 2X3",Apartment,2.0,1.5,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/two-bedroom-apartment-for-rent/1689267774,Owner,1.0,Month-to-month,Yes,2024-05-01 00:00:00+00:00,999.0,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,True,B3H 2X3,1.6,"Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, Canada",44.648618,-63.5859487,South End Halifax
43,Beautiful 1 bedroom unit in Central Fairview! $1750.00,1750.0,2024-03-26 15:24:01+00:00,"2 SYBYL COURT, HALIFAX, NS, B3M 1G8",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/beautiful-1-bedroom-unit-in-central-fairview-1750-00/1689265563,Professional,1.0,1 Year,No,2024-04-01 00:00:00+00:00,500.0,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,True,False,False,False,False,False,B3M 1G8,3.5,"2, Sybyl Court, Fairview Estates, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3M 1G8, Canada",44.6552916,-63.64732179166667,Fairview Halifax
44,2 Bedroom Apartment - July 1 - $1975 - Edinburgh St,1975.0,2024-03-26 15:18:03+00:00,"6345 Edinburgh St, Halifax, NS, B3L 1W3",Apartment,2.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedroom-apartment-july-1-1975-edinburgh-st/1689266109,Professional,1.0,1 Year,Limited,2023-07-01 00:00:00+00:00,500.0,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,True,True,False,False,False,False,False,B3L 1W3,3.95,"6345, Edinburgh Street, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3L 1W3, Canada",44.6531448,-63.60611761104562,West End of Halifax
45,2 BEDROOMS / DEN / 2 BATHROOMS;  SHIRAZ 50+ COMMUNITY,2495.0,2024-03-26 15:16:39+00:00,"Appaloosa Run, Hammonds Plains, NS",Apartment,2.0,2.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/2-bedrooms-den-2-bathrooms-shiraz-50-community/1689266617,Owner,0.0,1 Year,Limited,2024-07-01 00:00:00+00:00,1385.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,False,,1.8,"Appaloosa Run, Hammonds Plains, Halifax Regional Municipality, Halifax County, Nova Scotia, B4B 0G2, Canada",44.7252049,-63.7483418,Unknown
46,1 Bedroom Apt - Avail June 1st in  Popular North End Halifax,1695.0,2024-03-21 13:57:13+00:00,"3210 Agricola Street, Halifax, NS",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/1-bedroom-apt-avail-june-1st-in-popular-north-end-halifax/1688832358,Owner,1.0,1 Year,Limited,2024-06-01 00:00:00+00:00,700.0,False,True,outdoors only,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,,2.42,"3210, Agricola Street, Convoy Place, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3K 4H1, Canada",44.66206845,-63.603666640279656,Unknown
47,OPEN HOUSE SATURDAY 10-4  1 BEDROOM DOWNTOWN HALIFAX,1995.0,2024-03-26 01:52:16+00:00,"5651 Ogilvie Street, Halifax, NS, B3H 1B9",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/open-house-saturday-10-4-1-bedroom-downtown-halifax/1652777429,Professional,0.0,1 Year,Limited,2024-04-15 00:00:00+00:00,500.0,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,B3H 1B9,3.99,"Ogilvie on the Park, 5651, Ogilvie Street, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 1B9, Canada",44.6289805,-63.57143265303551,South End Halifax
49,OPEN HOUSE SATURDAY 10-4 1 BEDROOM,1995.0,2024-03-26 01:52:45+00:00,"5415 Victoria Road, Halifax, NS, B3H 4K5",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/open-house-saturday-10-4-1-bedroom/1673351063,Professional,0.0,1 Year,Limited,2024-04-15 00:00:00+00:00,500.0,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,B3H 4K5,3.99,"5415, Victoria Road, South End, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3H 4K5, Canada",44.6363873,-63.5714114,South End Halifax
53,"Central Halifax, large 1 bdrm, Parking, balcony",1795.0,2024-03-26 15:06:19+00:00,"2360 Hunter Street, Halifax, NS, B3K 4V6",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/central-halifax-large-1-bdrm-parking-balcony/1689265578,Professional,0.0,1 Year,No,2024-04-15 00:00:00+00:00,1.0,False,False,outdoors only,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,B3K 4V6,1795.0,"2360, Hunter Street, Halifax, Halifax Regional Municipality, Halifax County, Nova Scotia, B3K 4V6, Canada",44.651403849999994,-63.59537717216418,North End Halifax
54,NEW!! 1 BDRM/1 BTHRM; HAMMONDS PLAINS; 50+ BLDG,1895.0,2024-03-26 14:45:01+00:00,"Appaloosa Run, Hammonds Plains, NS",Apartment,1.0,1.0,https://www.kijiji.ca/v-apartments-condos/city-of-halifax/new-1-bdrm-1-bthrm-hammonds-plains-50-bldg/1688678052,Owner,0.0,1 Year,Limited,2024-09-01 00:00:00+00:00,790.0,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,False,,2.4,"Appaloosa Run, Hammonds Plains, Halifax Regional Municipality, Halifax County, Nova Scotia, B4B 0G2, Canada",44.7252049,-63.7483418,Unknown
